,Intent,Keyword,Position,Volume,Difficulty,Page URL inside,SERP Features,Website,Coefficient
3018,N,mybannerhealth,58,300,26,,"Sitelinks, People also ask",bannersnack.com,11.53846154
3024,S,autumn banner,59,300,1,,"Image pack, Top stories, Thumbnail",bannersnack.com,300
4502,H,health banner,7,200,33,,"Image pack, Sitelinks, People also ask",bannersnack.com,6.060606061
3087,L,banner.png,25,300,5,,"Image pack, Sitelinks, Video",bannersnack.com,60
3097,N,bachelorette party banner,48,300,1,,"Shopping results, Thumbnail, Image pack, Video",bannersnack.com,300
3119,S,merry christmas banners,61,300,1,,"Shopping results, Thumbnail, Top stories, Knowledge panel",bannersnack.com,300
4667,H,campaign banner,28,200,1,,Image pack,bannersnack.com,200
3168,L,animation banners,2,300,27,,"Top stories, Thumbnail, People also ask, Knowledge panel",bannersnack.com,11.11111111
3170,L,banner black and white,14,300,1,,"Image pack, Top stories, Thumbnail",bannersnack.com,300
3171,N,hearts with banners,33,300,1,,"Image pack, Sitelinks, Top stories, Thumbnail",bannersnack.com,300
3172,N,banner health corporate office,44,300,3,,"People also ask, Image pack",bannersnack.com,100
3174,L,quality banners,30,300,34,,"Adwords top, Sitelinks, Image pack, People also ask, Top stories, Thumbnail",bannersnack.com,8.823529412
3187,N,flag banner templates,41,300,1,,"Adwords top, Sitelinks, Image pack, Adwords bottom, Shopping results, Thumbnail",bannersnack.com,300
4669,H,banner samples,1,200,6,,"Shopping results, Thumbnail, Top stories, People also ask, Adwords bottom, Sitelinks, Knowledge panel",bannersnack.com,33.33333333
3213,N,banners - someone to you,89,300,2,,Video,bannersnack.com,150
3233,N,banner store,73,300,8,,"Sitelinks, People also ask, Image pack",bannersnack.com,37.5
4719,H,houses banner,51,200,1,,"Image pack, Top stories, Thumbnail, Sitelinks",bannersnack.com,200
3242,N,free printable banner templates for word,14,300,12,,"Image pack, People also ask, Sitelinks, Video",bannersnack.com,25
3270,M,etsy shop banner size,20,300,2,Image pack,"Featured snippet, Thumbnail, People also ask, Top stories, Image pack",bannersnack.com,150
3272,M,banner text,17,300,11,,"Image pack, Sitelinks, People also ask, Top stories, Thumbnail",bannersnack.com,27.27272727
3290,L,banner html,16,300,4,,"People also ask, Video, Knowledge panel",bannersnack.com,75
3304,L,hd banner,17,300,6,,"Image pack, Sitelinks, Top stories, Thumbnail",bannersnack.com,50
3311,L,picture banner,39,300,10,,"Image pack, People also ask",bannersnack.com,30
3325,N,banners musician,36,300,31,,"Sitelinks, Video, People also ask, Image pack",bannersnack.com,9.677419355
3329,L,music banners,23,300,1,,"Adwords top, Sitelinks, Image pack, Top stories, Thumbnail",bannersnack.com,300
3330,M,gym banner,41,300,1,,"Shopping results, Thumbnail, Adwords top, Sitelinks, Image pack",bannersnack.com,300
3331,L,animate banner,4,300,1,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Video, Knowledge panel",bannersnack.com,300
3352,L,store banner,78,300,33,,"Adwords top, Sitelinks, Image pack, People also ask, Top stories, Thumbnail",bannersnack.com,9.090909091
3358,M,how to design a banner,3,300,24,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Image pack, Adwords bottom, Shopping results",bannersnack.com,12.5
4740,H,website banner ad,4,200,39,,"People also ask, Sitelinks, Top stories, Thumbnail, Image pack",bannersnack.com,5.128205128
3378,L,pop up banner design,35,250,14,,"Adwords top, Image pack, People also ask, Sitelinks, Top stories, Thumbnail, Adwords bottom",bannersnack.com,17.85714286
3396,L,banners (musician),34,250,7,,"Sitelinks, Top stories, Thumbnail, People also ask, Video",bannersnack.com,35.71428571
3406,L,email banners,1,250,7,,"People also ask, Sitelinks, Knowledge panel",bannersnack.com,35.71428571
3407,L,banner music,30,250,1,,"Top stories, Thumbnail, Image pack, Video",bannersnack.com,250
3416,L,banner photo,8,250,4,,"Image pack, People also ask, Top stories, Thumbnail",bannersnack.com,62.5
3430,M,how to make letters on banners,45,250,1,,"Top stories, Thumbnail, Image pack",bannersnack.com,250
4850,H,medical banner,2,200,26,,"Sitelinks, People also ask, Video",bannersnack.com,7.692307692
3433,M,types of banners,38,250,1,,"Featured snippet, Thumbnail, People also ask, Image pack, Top stories",bannersnack.com,250
4877,H,ebay banner,57,200,1,,"Adwords top, Sitelinks, Image pack, Top stories, Thumbnail, Adwords bottom",bannersnack.com,200
3445,S,may banner,63,250,1,,Image pack,bannersnack.com,250
3446,L,4chan banners,87,250,1,,"Top stories, Thumbnail, Video",bannersnack.com,250
3450,L,video banner,2,250,1,,"Video, People also ask, Image pack, Thumbnail",bannersnack.com,250
3452,L,money banner,14,250,1,,"Image pack, Top stories, Thumbnail",bannersnack.com,250
3463,L,new banner,9,250,36,,"Image pack, Sitelinks, Top stories, Thumbnail",bannersnack.com,6.944444444
3477,N,how to create a banner in word,20,250,3,,"Featured snippet, Thumbnail, People also ask, Top stories, Sitelinks, Image pack",bannersnack.com,83.33333333
3481,L,color banner,5,250,1,,"Sitelinks, Top stories, Thumbnail, People also ask",bannersnack.com,250
3482,L,banner texture,24,250,1,,"Image pack, Top stories, Thumbnail, Video",bannersnack.com,250
3498,L,thankful banner,78,250,1,,"Image pack, Top stories, Thumbnail",bannersnack.com,250
3510,N,banner pattern thing,30,250,1,,"Image pack, Top stories, Thumbnail, People also ask",bannersnack.com,250
3514,N,everyone is here banner,50,250,3,,Video,bannersnack.com,83.33333333
3537,N,draw a banner,34,250,2,,"Top stories, Thumbnail, People also ask, Knowledge panel",bannersnack.com,125
5109,H,festival banner,52,200,1,,"Top stories, Thumbnail, Knowledge panel",bannersnack.com,200
3619,M,standard web banners sizes,2,250,18,,"Featured snippet, Thumbnail, Sitelinks",bannersnack.com,13.88888889
3633,N,custom printable banner,38,250,31,,"Adwords top, Sitelinks, Image pack, People also ask, Shopping results, Thumbnail",bannersnack.com,8.064516129
3648,M,standard banner ad sizes,1,250,21,Featured snippet,"Featured snippet, Thumbnail, People also ask, Image pack, Sitelinks, Top stories",bannersnack.com,11.9047619
3651,M,diy banner template,32,250,11,,"Image pack, Sitelinks, Top stories, Thumbnail",bannersnack.com,22.72727273
3683,L,animation banner,1,250,33,Image pack,"Adwords top, Sitelinks, Image pack, Top stories, Thumbnail, People also ask",bannersnack.com,7.575757576
3713,M,photoshop banners,49,250,8,,"Top stories, Thumbnail, Sitelinks, People also ask, Video, Knowledge panel",bannersnack.com,31.25
3724,L,podcast banner,102,250,11,Knowledge panel,"People also ask, Top stories, Thumbnail, Knowledge panel",bannersnack.com,22.72727273
3738,N,grand valley my banner,87,250,5,,"Sitelinks, People also ask, Video",bannersnack.com,50
3763,L,banner photos,7,250,4,,"Adwords top, Sitelinks, Image pack, People also ask, Top stories, Thumbnail",bannersnack.com,62.5
3770,L,banner background images,15,250,3,,"Image pack, Sitelinks, Top stories, Thumbnail, People also ask",bannersnack.com,83.33333333
3792,N,words banners,65,250,1,,"Featured snippet, People also ask, Top stories, Thumbnail, Image pack",bannersnack.com,250
3816,N,save the date banner,11,250,1,,"Shopping results, Thumbnail, Adwords top, Sitelinks, Image pack, Top stories",bannersnack.com,250
3818,L,gif banner,4,250,6,,"Top stories, Thumbnail, People also ask, Knowledge panel",bannersnack.com,41.66666667
3836,L,html banner code,13,250,2,,"People also ask, Top stories, Thumbnail, Image pack",bannersnack.com,125
3848,L,html5 banner,5,250,8,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Adwords bottom, Knowledge panel",bannersnack.com,31.25
3854,M,discord banner size,24,250,2,,"People also ask, Image pack, Top stories, Thumbnail",bannersnack.com,125
3867,M,banner size for website,3,250,9,Image pack,"Featured snippet, Thumbnail, People also ask, Image pack, Sitelinks, Top stories",bannersnack.com,27.77777778
5185,H,banner tools,7,200,1,Sitelinks,"Sitelinks, Image pack, Top stories, Thumbnail",bannersnack.com,200
3881,N,how to print a banner in word,53,250,1,,"Featured snippet, Thumbnail, People also ask, Top stories, Sitelinks, Image pack",bannersnack.com,250
5187,H,page banner,1,200,1,Image pack,"Image pack, People also ask, Sitelinks, Top stories, Thumbnail",bannersnack.com,200
5261,H,banner styles,33,200,1,,"Shopping results, Thumbnail, Image pack, Top stories",bannersnack.com,200
3896,N,nature banner,94,250,1,,"Top stories, Thumbnail, Knowledge panel",bannersnack.com,250
3938,N,heroes of the storm banner,61,250,1,,"Sitelinks, Video, Knowledge panel",bannersnack.com,250
3946,M,common banner sizes,1,250,22,Featured snippet,"Featured snippet, Thumbnail, People also ask, Image pack, Shopping results",bannersnack.com,11.36363636
3948,N,banner toys,64,250,6,,"Sitelinks, Top stories, Thumbnail",bannersnack.com,41.66666667
3951,M,best etsy shop banner,20,250,2,Image pack,"People also ask, Top stories, Thumbnail, Image pack, Video, Adwords bottom, Sitelinks",bannersnack.com,125
5370,H,banner sale,13,200,1,,"Adwords top, Sitelinks, Image pack, Adwords bottom",bannersnack.com,200
3976,L,big banner,37,250,19,,"Shopping results, Thumbnail, Adwords top, Sitelinks, Image pack, People also ask, Top stories",bannersnack.com,13.15789474
3979,L,brown banner web,90,250,1,,,bannersnack.com,250
4001,M,how to make letter banners,65,250,1,,"Top stories, Thumbnail, Image pack",bannersnack.com,250
4012,L,google sites banner size,28,250,1,,"People also ask, Top stories, Thumbnail, Image pack",bannersnack.com,250
4022,M,banner ad mockup,36,250,3,,"Adwords top, Sitelinks, Video, Knowledge panel",bannersnack.com,83.33333333
4026,L,banner pics,10,250,3,,"Adwords top, Sitelinks, Image pack, People also ask, Top stories, Thumbnail",bannersnack.com,83.33333333
4040,L,banner no background,13,250,1,,"Image pack, Top stories, Thumbnail, Video",bannersnack.com,250
4058,N,banner quotes,24,250,1,,"Adwords top, Sitelinks, Image pack, Top stories, Thumbnail, Adwords bottom",bannersnack.com,250
4077,N,cross banner,80,250,1,,"Image pack, Top stories, Thumbnail, Sitelinks",bannersnack.com,250
4094,L,bing banner,52,250,3,,"Adwords top, Sitelinks, Image pack, Video",bannersnack.com,83.33333333
4107,N,banner logos,26,250,1,,"Shopping results, Thumbnail, Image pack, People also ask, Top stories, Video",bannersnack.com,250
4113,L,steam banner size,68,250,2,,"Featured snippet, Sitelinks, People also ask, Video, Image pack",bannersnack.com,125
5429,H,300x250 banners,7,200,16,,"Image pack, Sitelinks, People also ask, Top stories, Thumbnail",bannersnack.com,12.5
4127,M,average banner size,3,250,5,Image pack,"Featured snippet, People also ask, Image pack",bannersnack.com,50
4138,N,look at banner michael,88,250,1,,"Top stories, Thumbnail, Image pack",bannersnack.com,250
5466,H,product banner,2,200,15,,"People also ask, Top stories, Thumbnail, Knowledge panel",bannersnack.com,13.33333333
4171,N,banner clinic,48,250,11,,"Sitelinks, People also ask, Image pack, Top stories, Thumbnail",bannersnack.com,22.72727273
4187,M,banner template photoshop,20,250,7,,"Top stories, Thumbnail, Image pack, People also ask",bannersnack.com,35.71428571
4206,L,free etsy banner,3,250,4,,"Image pack, People also ask, Top stories, Thumbnail",bannersnack.com,62.5
4221,L,newsletter banner,3,250,4,,"Adwords top, Sitelinks, People also ask, Video, Knowledge panel",bannersnack.com,62.5
4226,L,photoshop banner shapes,44,250,2,,"Top stories, Thumbnail, Knowledge panel",bannersnack.com,125
4246,N,standing banner design,42,200,6,,"Shopping results, Thumbnail, Adwords top, Image pack, People also ask, Top stories",bannersnack.com,33.33333333
4248,N,words banner,73,200,1,,"Adwords top, Sitelinks, Featured snippet, Image pack, Top stories, Thumbnail",bannersnack.com,200
4305,L,patreon banner template,5,200,1,,"People also ask, Video",bannersnack.com,200
4334,M,banner ads definition,5,200,12,,"Featured snippet, People also ask, Sitelinks",bannersnack.com,16.66666667
4348,M,banner inspiration,3,200,2,,"Top stories, Thumbnail, People also ask, Knowledge panel",bannersnack.com,100
4366,N,opening soon banner,74,200,1,,"Shopping results, Thumbnail, Adwords top, Sitelinks, Image pack",bannersnack.com,200
4370,N,cartoon banners,11,200,1,,"Image pack, Top stories, Thumbnail",bannersnack.com,200
4392,M,tech banner,3,200,9,,Image pack,bannersnack.com,22.22222222
4416,M,etsy banner ideas,1,200,2,Image pack,"Adwords top, Sitelinks, Image pack, People also ask, Top stories, Thumbnail",bannersnack.com,100
4430,N,conference banners,29,200,20,,"Shopping results, Thumbnail, Adwords top, Sitelinks, People also ask, Adwords bottom, Knowledge panel",bannersnack.com,10
4433,L,google banner sizes,8,200,20,,"Featured snippet, Thumbnail, People also ask, Image pack, Top stories",bannersnack.com,10
5486,H,banner layout,3,200,2,Sitelinks,"Image pack, Sitelinks, Top stories, Thumbnail",bannersnack.com,100
4455,M,banner advertising sites,6,200,3,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Adwords bottom",bannersnack.com,66.66666667
4458,M,mobile banner sizes,9,200,18,,"Featured snippet, Thumbnail, People also ask, Image pack, Top stories",bannersnack.com,11.11111111
4499,N,create a banner in word,23,200,3,,"Featured snippet, Thumbnail, People also ask, Top stories, Sitelinks, Image pack",bannersnack.com,66.66666667
5622,H,300x250 banner,1,200,2,Image pack,"Image pack, People also ask, Sitelinks, Top stories, Thumbnail",bannersnack.com,100
4534,N,logo banners,21,200,39,,"Shopping results, Thumbnail, Adwords top, Sitelinks, People also ask, Top stories, Adwords bottom, Knowledge panel",bannersnack.com,5.128205128
4561,S,happy new years 2016 banner,88,200,1,,Video,bannersnack.com,200
4605,M,etsy banners generator,3,200,8,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Image pack",bannersnack.com,25
4616,L,standard banner advert sizes,8,200,21,Image pack,"Featured snippet, Thumbnail, People also ask, Sitelinks, Image pack, Top stories",bannersnack.com,9.523809524
4621,L,standard banner advertising sizes,8,200,21,Image pack,"Featured snippet, Thumbnail, People also ask, Image pack, Top stories",bannersnack.com,9.523809524
4644,M,standard banner ads sizes,3,200,21,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Image pack, Top stories",bannersnack.com,9.523809524
33861,H,online banner,13,200,39,,"Adwords top, Sitelinks, Image pack, Top stories, Thumbnail, People also ask",visme.co,5.128205128
35107,H,website banners templates,25,200,12,,"Adwords top, Sitelinks, Image pack, People also ask, Top stories, Thumbnail, Adwords bottom, Shopping results",visme.co,16.66666667
4670,L,patreon banner dimensions,6,200,1,,"Featured snippet, People also ask, Video",bannersnack.com,200
4687,L,banner graphic design,1,200,13,Image pack,"Image pack, People also ask, Sitelinks, Top stories, Thumbnail",bannersnack.com,15.38461538
38392,H,2560 x 1440 pixels banner,61,200,26,,"Top stories, Thumbnail, People also ask",visme.co,7.692307692
4734,N,banner line art,67,200,2,,"Image pack, Video",bannersnack.com,100
38690,H,web design banner,70,200,32,,"People also ask, Sitelinks, Top stories, Thumbnail, Knowledge panel",visme.co,6.25
4752,N,cyber monday banner,1,200,1,Image pack,"Image pack, Video",bannersnack.com,200
4756,N,banner flag template,47,200,1,,"Image pack, Top stories, Thumbnail, Shopping results",bannersnack.com,200
4771,N,making a banner in word,22,200,3,,"Featured snippet, Thumbnail, People also ask, Top stories, Sitelinks, Image pack",bannersnack.com,66.66666667
4823,N,teacher banner,24,200,1,,Image pack,bannersnack.com,200
4826,L,banner photo eye,100,200,3,,"Shopping results, Thumbnail, Sitelinks, Top stories, People also ask",bannersnack.com,66.66666667
4829,N,wedding banner ideas,89,200,1,,"Top stories, Thumbnail, Video, Shopping results",bannersnack.com,200
38971,H,summer sale banner,72,200,1,,"Image pack, Video",visme.co,200
39629,H,sales banner,83,200,1,,"Image pack, Top stories, Thumbnail",visme.co,200
4889,M,banner advertisement,103,200,38,Image pack,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Adwords bottom, Image pack",bannersnack.com,5.263157895
4894,M,banner ad dimensions,1,200,18,Featured snippet,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Adwords bottom",bannersnack.com,11.11111111
4941,N,colorbanner,14,200,1,,"Top stories, Thumbnail, Image pack",bannersnack.com,200
4950,L,draw banners,30,200,1,,"Shopping results, Thumbnail, Image pack, Video, People also ask",bannersnack.com,200
4989,M,long banner,51,200,35,,"Adwords top, Sitelinks, Image pack, People also ask, Shopping results, Thumbnail",bannersnack.com,5.714285714
4990,N,kids banner,45,200,1,,"Image pack, Top stories, Thumbnail",bannersnack.com,200
5020,N,bachelorette party banners,38,200,1,,"Shopping results, Thumbnail, Image pack",bannersnack.com,200
5049,M,target banner,44,200,1,,"Sitelinks, Knowledge panel",bannersnack.com,200
5055,L,animated banners,1,200,30,,"People also ask, Top stories, Thumbnail, Knowledge panel",bannersnack.com,6.666666667
39754,H,website banner images,90,200,4,,"Image pack, Sitelinks, People also ask, Top stories, Thumbnail",visme.co,50
5160,L,banner tutorial,42,200,4,,"Image pack, Video, People also ask",bannersnack.com,50
5168,L,pumpkin banners,80,200,1,,"Top stories, Thumbnail, Knowledge panel",bannersnack.com,200
40177,H,website banner ideas,100,200,14,,"Image pack, People also ask, Top stories, Thumbnail",visme.co,14.28571429
5661,H,shopping banner,6,150,1,,"Image pack, Top stories, Thumbnail",bannersnack.com,150
5202,L,html5 banner ads,101,200,7,Image pack,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Image pack, Adwords bottom",bannersnack.com,28.57142857
5207,M,standard web banner size,4,200,12,,"Featured snippet, Thumbnail, People also ask, Sitelinks, Image pack",bannersnack.com,16.66666667
5241,N,print banner size,32,200,19,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Adwords bottom, Shopping results",bannersnack.com,10.52631579
5245,L,background banners,56,200,4,,"Shopping results, Thumbnail, Image pack, Top stories",bannersnack.com,50
5250,N,banner lakes imaging,69,200,1,,Image pack,bannersnack.com,200
5255,N,tropical banner,26,200,1,,"Top stories, Thumbnail, Knowledge panel",bannersnack.com,200
5711,H,web banner examples,1,150,21,Image pack,"Image pack, People also ask, Top stories, Thumbnail",bannersnack.com,7.142857143
5282,S,mother's day banners,85,200,1,,Image pack,bannersnack.com,200
5283,N,make a banner in word,24,200,3,,"Featured snippet, Thumbnail, People also ask, Top stories, Sitelinks, Image pack",bannersnack.com,66.66666667
5336,N,banner pathfinder,88,200,1,,"Top stories, Thumbnail, Knowledge panel",bannersnack.com,200
5358,L,transparent banners,62,200,1,,"Image pack, Top stories, Thumbnail",bannersnack.com,200
5977,H,amazon banner ads,31,150,19,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom, Knowledge panel",bannersnack.com,7.894736842
5394,N,how to make a paper banner,94,200,6,,"Top stories, Thumbnail, People also ask, Image pack",bannersnack.com,33.33333333
5397,N,concert banner,52,200,1,,"Shopping results, Thumbnail, Top stories, Knowledge panel",bannersnack.com,200
6068,H,automobile banner,3,150,1,,"Adwords top, Sitelinks, Knowledge panel",bannersnack.com,150
5441,M,how to create a banner in photoshop,44,200,12,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Image pack",bannersnack.com,16.66666667
5453,L,banner ads cost,63,200,6,,"Adwords top, Sitelinks, Featured snippet, People also ask, Adwords bottom",bannersnack.com,33.33333333
6089,H,restaurants banner,37,150,12,,"Image pack, Sitelinks, Thumbnail, Top stories",bannersnack.com,12.5
5476,N,how to draw banner,44,200,1,,"Featured snippet, Thumbnail, Image pack, Top stories, People also ask",bannersnack.com,200
6115,H,web banner dimension,3,150,16,Image pack,"Featured snippet, Thumbnail, People also ask, Image pack",bannersnack.com,9.375
5493,N,about us banner,35,200,6,,"Image pack, Top stories, Thumbnail",bannersnack.com,33.33333333
5495,N,banners singer,32,200,7,,"Sitelinks, Top stories, Thumbnail, People also ask",bannersnack.com,28.57142857
5503,M,banners images,1,200,3,Image pack,"Shopping results, Thumbnail, Image pack, Sitelinks, People also ask, Top stories",bannersnack.com,66.66666667
5524,N,do not interact banner maker,12,200,7,,Image pack,bannersnack.com,28.57142857
5530,N,building banner,88,200,1,,"Adwords top, Sitelinks, Image pack, Top stories, Thumbnail, Adwords bottom, Shopping results",bannersnack.com,200
5559,N,how to make a birthday banner,79,200,10,,"Top stories, Thumbnail, Image pack, Adwords bottom, Sitelinks, Shopping results",bannersnack.com,20
5569,N,how to print a banner,22,200,4,,"Shopping results, Thumbnail, Adwords top, Featured snippet, People also ask, Top stories, Sitelinks, Image pack",bannersnack.com,50
5582,N,inspirational banner,23,200,1,,Image pack,bannersnack.com,200
6294,H,automotive banners,11,150,1,,"Shopping results, Thumbnail, Adwords top, Sitelinks, Image pack, Adwords bottom",bannersnack.com,150
5627,N,scroll banners,56,200,1,,"Shopping results, Thumbnail, Top stories",bannersnack.com,200
5630,N,free banner clip art,50,200,3,,"Image pack, Video",bannersnack.com,66.66666667
5646,M,standard banner ad size,10,150,14,Image pack,"Featured snippet, Thumbnail, People also ask, Sitelinks, Image pack, Top stories",bannersnack.com,10.71428571
6514,H,sports banner templates,21,150,1,,"Shopping results, Thumbnail, Adwords top, Sitelinks, Image pack, Top stories, Adwords bottom",bannersnack.com,150
5670,N,cloud banner,55,150,1,,"Top stories, Thumbnail, Knowledge panel",bannersnack.com,150
5675,N,computer banner,19,150,1,,Knowledge panel,bannersnack.com,150
5704,N,banner toy,60,150,1,,"Sitelinks, Image pack, Top stories, Thumbnail",bannersnack.com,150
6551,H,holiday sale banner,18,150,1,,"Shopping results, Thumbnail, Image pack",bannersnack.com,150
5729,M,images of banners,14,150,2,,"Image pack, Sitelinks, People also ask",bannersnack.com,75
5749,L,building a banner,1,150,35,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Image pack, Adwords bottom, Shopping results",bannersnack.com,4.285714286
5827,L,gifbanner,4,150,6,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Video, Knowledge panel",bannersnack.com,25
5830,M,videos banners,19,150,23,Video,"Adwords top, Sitelinks, Video, People also ask, Image pack, Thumbnail, Adwords bottom",bannersnack.com,6.52173913
5832,N,inspiration banners,4,150,8,,"Image pack, People also ask, Sitelinks, Video",bannersnack.com,18.75
5837,M,animated banner ads,3,150,18,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Adwords bottom, Knowledge panel",bannersnack.com,8.333333333
5846,L,car wash banner,39,150,1,,"Shopping results, Thumbnail, Adwords bottom, Sitelinks, Knowledge panel",bannersnack.com,150
5849,N,banner shop,19,150,40,,"Shopping results, Thumbnail, Adwords top, Sitelinks, Top stories, Image pack, People also ask",bannersnack.com,3.75
5850,N,banner en español,44,150,1,,"Knowledge card, People also ask, Sitelinks, Image pack",bannersnack.com,150
5866,L,banner css,83,150,3,,"Top stories, Thumbnail, People also ask, Knowledge panel",bannersnack.com,50
5909,L,popup display banner,42,150,25,,"Adwords top, Sitelinks, People also ask, Image pack, Top stories, Thumbnail, Adwords bottom, Shopping results",bannersnack.com,6
5919,L,banner size in photoshop,28,150,1,,"Featured snippet, Thumbnail, People also ask, Image pack, Top stories",bannersnack.com,150
5939,N,bunting banner template,20,150,5,,"Shopping results, Thumbnail, Top stories, People also ask",bannersnack.com,30
5941,L,banner electric,54,150,4,,"Sitelinks, Image pack, Top stories, Thumbnail, Video",bannersnack.com,37.5
5943,N,writing banner,1,150,1,Image pack,"Image pack, Top stories, Thumbnail",bannersnack.com,150
5947,L,shop banner,9,150,11,,"Image pack, Sitelinks, People also ask",bannersnack.com,13.63636364
5960,L,pop up banner designs,52,150,7,,"Shopping results, Thumbnail, Adwords top, Sitelinks, Image pack, People also ask, Top stories, Adwords bottom",bannersnack.com,21.42857143
6575,H,template banner,1,150,26,Sitelinks,"Sitelinks, Top stories, Thumbnail, People also ask, Knowledge panel",bannersnack.com,5.769230769
5979,M,banner template psd,20,150,9,,"Top stories, Thumbnail, Sitelinks, Shopping results, Knowledge panel",bannersnack.com,16.66666667
5986,L,html5 banners,5,150,9,,"Top stories, Thumbnail, People also ask, Knowledge panel",bannersnack.com,16.66666667
5989,L,banner ad networks,13,150,23,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Adwords bottom",bannersnack.com,6.52173913
5993,L,purple banner background,29,150,1,,"Image pack, Video",bannersnack.com,150
6009,N,word banners,14,150,6,,"Top stories, Thumbnail, People also ask, Sitelinks, Knowledge panel",bannersnack.com,25
6040,N,picnic banner,88,150,1,,"Top stories, Thumbnail, Video, Knowledge panel",bannersnack.com,150
6053,L,computer repair banner,93,150,1,,,bannersnack.com,150
6060,L,banner web brown,35,150,7,,"Top stories, Thumbnail, Image pack",bannersnack.com,21.42857143
6597,H,banner discounts,38,150,16,,Image pack,bannersnack.com,9.375
6822,H,promotion banner,13,150,1,,"Adwords top, Sitelinks, Top stories, Thumbnail, Knowledge panel",bannersnack.com,150
6924,H,black friday sale banner,2,150,1,,"Image pack, Top stories, Thumbnail",bannersnack.com,150
6128,L,email banner sizes,4,150,13,Image pack,"Featured snippet, Thumbnail, Image pack, Top stories",bannersnack.com,11.53846154
6143,L,what does banner mean,63,150,14,,"Knowledge card, People also ask, Top stories, Thumbnail",bannersnack.com,10.71428571
6154,L,banners definition,17,150,12,,"Knowledge card, Sitelinks, People also ask, Top stories, Thumbnail",bannersnack.com,12.5
6224,M,banner resolution,11,150,6,,"Featured snippet, People also ask, Top stories, Thumbnail, Image pack",bannersnack.com,25
6235,M,how to make an etsy banner,7,150,6,,"Adwords top, Featured snippet, Thumbnail, People also ask, Top stories, Image pack, Video",bannersnack.com,25
6239,L,teamspeak banner size,20,150,1,,"Featured snippet, Thumbnail, Top stories",bannersnack.com,150
6243,M,banner sample,8,150,4,,"Shopping results, Thumbnail, Image pack, People also ask, Top stories",bannersnack.com,37.5
6251,L,snack banner,1,150,5,Sitelinks,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask",bannersnack.com,30
7035,H,website banner idea,1,150,2,Image pack,"Image pack, People also ask, Video",bannersnack.com,75
6327,L,banner graphic news,57,150,1,,"Video, Image pack",bannersnack.com,150
6346,M,best fonts for banners,26,150,5,Image pack,"Featured snippet, Thumbnail, People also ask, Top stories, Image pack, Video",bannersnack.com,30
6350,N,pastel banner,49,150,1,,Image pack,bannersnack.com,150
6399,N,letters for banners,56,150,7,,"Shopping results, Thumbnail, Image pack, Sitelinks, Top stories, Adwords bottom",bannersnack.com,21.42857143
6407,N,quote banner,9,150,1,,"Top stories, Thumbnail, Knowledge panel",bannersnack.com,150
6412,M,square banner,13,150,14,,"Shopping results, Thumbnail, Adwords top, Sitelinks, Image pack, People also ask, Adwords bottom",bannersnack.com,10.71428571
6432,L,free etsy banners,4,150,6,,"Image pack, People also ask, Top stories, Thumbnail",bannersnack.com,25
6510,L,wine banner,11,150,1,,,bannersnack.com,150
7143,H,auto banners,11,150,1,,"Top stories, Thumbnail, Knowledge panel",bannersnack.com,150
6515,L,welcome back to school banner,25,150,1,,Knowledge panel,bannersnack.com,150
6524,N,banner template printable,18,150,13,,"Top stories, Thumbnail, Knowledge panel",bannersnack.com,11.53846154
6534,M,video banners,3,150,1,,"Adwords top, Sitelinks, People also ask, Video, Image pack, Thumbnail",bannersnack.com,150
6540,N,banner advertising agency,23,150,5,,"Adwords top, Sitelinks, Adwords bottom",bannersnack.com,30
7273,H,728x90 banner roblox,14,150,1,,"Image pack, Video",bannersnack.com,150
6552,M,videos banner,5,150,1,,"Image pack, People also ask, Video, Thumbnail",bannersnack.com,150
6562,N,world banner,54,150,1,,"Adwords top, Sitelinks, Image pack, Top stories, Thumbnail",bannersnack.com,150
7322,H,website banners ideas,2,150,14,,"Image pack, Top stories, Thumbnail, People also ask",bannersnack.com,10.71428571
6578,M,banner code,10,150,1,,"Featured snippet, Thumbnail, Top stories, Adwords bottom, Sitelinks",bannersnack.com,150
6579,M,banner size in inches,1,150,7,Featured snippet,"Shopping results, Thumbnail, Featured snippet, People also ask, Image pack, Sitelinks, Top stories",bannersnack.com,21.42857143
